customer_id,full_name,email,phone,pan_no,aadhar_no,gender,kyc_status,dob
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,+91-0000000000,1234567890,1234-5678,WrongOption,,9999-99-99
CUST00000000,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,wrongemail,ABCDEFGHIJ,PAN@#123,1234-5678,,WrongOption,not-a-date
CUST00000000,,,123,,1234-5678,,,not-a-date
CUST00000000,!@#$%^,wrongemail,123,,ABCD-EFGH-IJKL,,WrongOption,
CUST00000000,R@j3sh 123,wrongemail,+91-0000000000,PAN@#123,1234-5678,,INVALID,9999-99-99
CUST00000000,!@#$%^,@nodomain.com,+91-0000000000,,1234-5678,,INVALID,9999-99-99
CUST@@##$$,R@j3sh 123,user@@mail.com,123,,,INVALID,,
CUST00000000,,,123,,0000-0000-0000,INVALID,,
,,,+91-0000000000,,ABCD-EFGH-IJKL,INVALID,INVALID,
CUST@@##$$,,wrongemail,+91-0000000000,1234567890,,INVALID,,
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AAAAA0000A,1234-5678,,WrongOption,not-a-date
CUST00000000,R@j3sh 123,,123,PAN@#123,,,,2026-13-45
,R@j3sh 123,user@@mail.com,123,PAN@#123,1234-5678,,INVALID,not-a-date
CUST00000000,R@j3sh 123,,ABCDEFGHIJ,AAAAA0000A,ABCD-EFGH-IJKL,,,not-a-date
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,ABCDEFGHIJ,,1234-5678,,,not-a-date
,,,ABCDEFGHIJ,,1234-5678,WrongOption,,
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,,AAAAA0000A,,,,2026-13-45
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,1234567890,,,,9999-99-99
,,@nodomain.com,ABCDEFGHIJ,PAN@#123,0000-0000-0000,WrongOption,,2026-13-45
CUST@@##$$,,@nodomain.com,ABCDEFGHIJ,1234567890,,,,2026-13-45
CUST00000000,R@j3sh 123,wrongemail,123,AAAAA0000A,1234-5678,,WrongOption,2026-13-45
CUST@@##$$,,wrongemail,+91-0000000000,1234567890,,WrongOption,WrongOption,
CUST00000000,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,,,,,WrongOption,9999-99-99
CUST@@##$$,,,+91-0000000000,1234567890,,WrongOption,,not-a-date
CUST@@##$$,!@#$%^,,+91-0000000000,AAAAA0000A,ABCD-EFGH-IJKL,,INVALID,2026-13-45
,,@nodomain.com,ABCDEFGHIJ,PAN@#123,ABCD-EFGH-IJKL,WrongOption,INVALID,
,,user@@mail.com,+91-0000000000,PAN@#123,1234-5678,,,
,R@j3sh 123,wrongemail,ABCDEFGHIJ,PAN@#123,,INVALID,,9999-99-99
,,wrongemail,,1234567890,0000-0000-0000,,WrongOption,not-a-date
,!@#$%^,user@@mail.com,123,1234567890,1234-5678,INVALID,INVALID,
,,wrongemail,+91-0000000000,,ABCD-EFGH-IJKL,,WrongOption,9999-99-99
,,user@@mail.com,,,,,,2026-13-45
,R@j3sh 123,,,,ABCD-EFGH-IJKL,,INVALID,
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,+91-0000000000,,1234-5678,WrongOption,,2026-13-45
CUST00000000,,,+91-0000000000,PAN@#123,0000-0000-0000,INVALID,WrongOption,2026-13-45
,,,123,1234567890,,,,not-a-date
,,@nodomain.com,123,AAAAA0000A,1234-5678,WrongOption,WrongOption,
,R@j3sh 123,,,PAN@#123,,,INVALID,2026-13-45
CUST@@##$$,R@j3sh 123,wrongemail,,,1234-5678,,INVALID,2026-13-45
,!@#$%^,wrongemail,ABCDEFGHIJ,AAAAA0000A,0000-0000-0000,,WrongOption,9999-99-99
CUST00000000,,@nodomain.com,ABCDEFGHIJ,1234567890,ABCD-EFGH-IJKL,WrongOption,,not-a-date
,,user@@mail.com,,1234567890,ABCD-EFGH-IJKL,INVALID,,
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,123,1234567890,ABCD-EFGH-IJKL,INVALID,WrongOption,9999-99-99
,,wrongemail,+91-0000000000,PAN@#123,1234-5678,,,
CUST@@##$$,,@nodomain.com,+91-0000000000,PAN@#123,,,WrongOption,not-a-date
CUST@@##$$,!@#$%^,@nodomain.com,,PAN@#123,,INVALID,,2026-13-45
CUST00000000,,user@@mail.com,123,1234567890,ABCD-EFGH-IJKL,,,
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,ABCDEFGHIJ,,1234-5678,WrongOption,WrongOption,9999-99-99
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,+91-0000000000,PAN@#123,1234-5678,INVALID,,not-a-date
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,+91-0000000000,1234567890,0000-0000-0000,INVALID,WrongOption,
CUST00000000,,,123,AAAAA0000A,1234-5678,INVALID,WrongOption,not-a-date
,,wrongemail,+91-0000000000,AAAAA0000A,ABCD-EFGH-IJKL,,,2026-13-45
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,@nodomain.com,+91-0000000000,,1234-5678,WrongOption,,2026-13-45
,,,+91-0000000000,PAN@#123,,,WrongOption,
CUST@@##$$,!@#$%^,,,1234567890,1234-5678,,WrongOption,2026-13-45
CUST@@##$$,!@#$%^,wrongemail,123,1234567890,ABCD-EFGH-IJKL,WrongOption,INVALID,9999-99-99
,,user@@mail.com,+91-0000000000,AAAAA0000A,,INVALID,INVALID,not-a-date
CUST00000000,!@#$%^,@nodomain.com,+91-0000000000,,1234-5678,WrongOption,,2026-13-45
,,,123,PAN@#123,,,,2026-13-45
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,wrongemail,123,AAAAA0000A,0000-0000-0000,INVALID,,
,,@nodomain.com,ABCDEFGHIJ,AAAAA0000A,,WrongOption,,
CUST00000000,,wrongemail,ABCDEFGHIJ,,1234-5678,INVALID,,2026-13-45
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,ABCDEFGHIJ,,ABCD-EFGH-IJKL,WrongOption,WrongOption,
CUST@@##$$,,user@@mail.com,,1234567890,ABCD-EFGH-IJKL,WrongOption,INVALID,9999-99-99
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,wrongemail,ABCDEFGHIJ,,ABCD-EFGH-IJKL,WrongOption,WrongOption,2026-13-45
CUST00000000,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,123,AAAAA0000A,ABCD-EFGH-IJKL,INVALID,INVALID,not-a-date
CUST@@##$$,!@#$%^,wrongemail,+91-0000000000,1234567890,ABCD-EFGH-IJKL,INVALID,INVALID,9999-99-99
CUST00000000,!@#$%^,user@@mail.com,ABCDEFGHIJ,,ABCD-EFGH-IJKL,INVALID,INVALID,
CUST00000000,,,,,,,WrongOption,2026-13-45
CUST00000000,!@#$%^,@nodomain.com,ABCDEFGHIJ,1234567890,,WrongOption,INVALID,
,,@nodomain.com,+91-0000000000,PAN@#123,ABCD-EFGH-IJKL,,,
,,user@@mail.com,123,,ABCD-EFGH-IJKL,WrongOption,WrongOption,not-a-date
CUST00000000,R@j3sh 123,@nodomain.com,123,1234567890,,INVALID,INVALID,9999-99-99
CUST@@##$$,,user@@mail.com,,,,,,2026-13-45
CUST@@##$$,!@#$%^,wrongemail,+91-0000000000,AAAAA0000A,,,,not-a-date
CUST00000000,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,,1234567890,1234-5678,INVALID,,
CUST@@##$$,,,123,,1234-5678,INVALID,,9999-99-99
,!@#$%^,user@@mail.com,ABCDEFGHIJ,PAN@#123,ABCD-EFGH-IJKL,,WrongOption,2026-13-45
CUST00000000,,,+91-0000000000,PAN@#123,0000-0000-0000,WrongOption,,not-a-date
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,,,ABCD-EFGH-IJKL,,WrongOption,
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,ABCDEFGHIJ,1234567890,ABCD-EFGH-IJKL,INVALID,WrongOption,2026-13-45
CUST@@##$$,,user@@mail.com,123,,ABCD-EFGH-IJKL,,,2026-13-45
CUST@@##$$,,user@@mail.com,,1234567890,0000-0000-0000,,,2026-13-45
,R@j3sh 123,user@@mail.com,+91-0000000000,1234567890,0000-0000-0000,,INVALID,not-a-date
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,@nodomain.com,123,,ABCD-EFGH-IJKL,,INVALID,2026-13-45
CUST@@##$$,,@nodomain.com,ABCDEFGHIJ,1234567890,ABCD-EFGH-IJKL,INVALID,INVALID,9999-99-99
CUST@@##$$,!@#$%^,,+91-0000000000,AAAAA0000A,0000-0000-0000,,,
CUST00000000,,@nodomain.com,123,PAN@#123,1234-5678,,,not-a-date
,R@j3sh 123,wrongemail,ABCDEFGHIJ,1234567890,0000-0000-0000,INVALID,INVALID,not-a-date
CUST@@##$$,,@nodomain.com,123,PAN@#123,1234-5678,WrongOption,WrongOption,9999-99-99
CUST00000000,,user@@mail.com,ABCDEFGHIJ,PAN@#123,0000-0000-0000,INVALID,,9999-99-99
CUST00000000,!@#$%^,@nodomain.com,,,0000-0000-0000,WrongOption,WrongOption,not-a-date
CUST00000000,R@j3sh 123,user@@mail.com,,AAAAA0000A,1234-5678,WrongOption,INVALID,9999-99-99
,R@j3sh 123,user@@mail.com,ABCDEFGHIJ,,1234-5678,WrongOption,INVALID,9999-99-99
CUST@@##$$,,wrongemail,123,PAN@#123,0000-0000-0000,,,not-a-date
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,wrongemail,123,1234567890,1234-5678,WrongOption,,9999-99-99
CUST00000000,R@j3sh 123,@nodomain.com,123,PAN@#123,ABCD-EFGH-IJKL,WrongOption,,not-a-date
,,user@@mail.com,+91-0000000000,AAAAA0000A,1234-5678,WrongOption,WrongOption,
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,wrongemail,,AAAAA0000A,ABCD-EFGH-IJKL,INVALID,INVALID,not-a-date
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,ABCDEFGHIJ,,,WrongOption,,9999-99-99
,R@j3sh 123,wrongemail,+91-0000000000,,,WrongOption,WrongOption,9999-99-99
,,user@@mail.com,,,,INVALID,,2026-13-45
,,wrongemail,123,PAN@#123,ABCD-EFGH-IJKL,,WrongOption,
,!@#$%^,user@@mail.com,,PAN@#123,0000-0000-0000,,,not-a-date
CUST00000000,R@j3sh 123,wrongemail,,1234567890,0000-0000-0000,,INVALID,
CUST00000000,,wrongemail,+91-0000000000,,,INVALID,,not-a-date
,!@#$%^,@nodomain.com,,PAN@#123,,WrongOption,,
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,,1234567890,0000-0000-0000,,,not-a-date
,R@j3sh 123,user@@mail.com,123,,0000-0000-0000,,WrongOption,2026-13-45
CUST@@##$$,,user@@mail.com,ABCDEFGHIJ,AAAAA0000A,,,,9999-99-99
