customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance,cibil_score
CUST68892127,Yug Jayaraman,oshamuni@example.net,+91-9807690327,EZDRL3019G,5857-5277-4862,SB-3680-6174-6164,ICIC7968883,126417.49,791
CUST83588140,Zehaan Guha,vamakshitrivedi@example.net,+91-8765794033,OXBJP9076S,7708-5866-1506,SB-4105-6837-7853,AXIS3082163,301861.79,792
CUST69858416,Jhalak Raman,kallabachittar@example.net,+91-8101716519,QXTYC4608X,7507-9006-7865,SB-4050-6919-6540,SBIN7935387,481808.01,877
CUST68108058,Bhavani Mishra,draval@example.com,+91-7136532531,IXNNQ4017L,3979-9023-9617,SB-5295-4173-8483,KOTAK2578179,216126.22,821
CUST17901840,Lakshmi Solanki,sakshamratta@example.org,+91-9122233857,GPGOQ4566B,5863-8985-4623,SB-5942-9305-6876,HDFC9587293,471817.56,812
CUST54957251,Krishna Sridhar,kundayash@example.net,+91-9973584321,NJTDZ6574H,9855-9671-8914,SB-7488-6249-7660,ICIC6151237,277974.75,765
CUST46510647,Ekaraj Chhabra,murthykashvi@example.com,+91-7310793542,FDOJF3981L,8746-3923-9087,SB-1061-6348-3471,HDFC6275899,215067.32,741
CUST72639307,Ekbal Palla,divya31@example.net,+91-7867423279,SOXQQ2893L,5262-3024-9305,SB-6859-2047-4059,HDFC3452640,42092.81,730
CUST39969044,Timothy Dugar,maanav41@example.org,+91-9783405949,DMYGK2966F,3493-4387-4417,SB-9861-8536-5305,KOTAK4247549,295934.4,727
CUST60697427,Brijesh D’Alia,jagvi88@example.net,+91-7390405795,ROPED2203V,3806-8170-6222,SB-2747-4762-4471,SBIN5833728,74272.69,757
CUST19828854,Sanaya Venkataraman,ahans@example.com,+91-7546596196,FMOBY2016Y,2626-6134-1048,SB-5467-4902-3624,ICIC3961642,185670.68,834
CUST99957735,Vrinda Mitter,xbaral@example.org,+91-8850820395,TYINN2029C,2481-2840-7806,SB-7257-8248-5276,KOTAK6253741,228788.31,783
CUST76559834,Farhan Gour,wazirmann@example.com,+91-9909758733,GAIWU2296P,2533-3159-3810,SB-2802-8282-8206,KOTAK2198704,104808.48,737
CUST11789404,Dalaja Bahri,rehaan47@example.org,+91-9186237834,XCEZI2718T,6548-1626-5962,SB-7835-9026-3355,SBIN6386590,222252.1,830
CUST82170989,Timothy Krishna,sarmaaahana@example.com,+91-8895818918,KTSBP0557N,1348-6104-5887,SB-7730-9217-2477,ICIC8542095,429846.02,842
CUST79773165,Ekaraj Arora,dalbir17@example.com,+91-8217544156,SKZJT1513A,7737-6630-7786,SB-5007-6296-5106,KOTAK6181310,221360.93,846
CUST54606011,Teerth Mallick,wde@example.com,+91-8560187347,GBZQA0416G,5333-9380-4295,SB-1136-3961-2286,SBIN1619988,396864.82,795
CUST97481685,Keya Karpe,mbarman@example.net,+91-7699005281,JVKZJ3666E,6719-1392-1144,SB-7879-3774-4014,ICIC7064453,197247.16,828
CUST25607425,Sachi Raghavan,bailekavir@example.net,+91-7984971260,RTCGF1085X,8274-4448-8887,SB-2020-5593-4920,KOTAK2467190,293285.65,810
CUST70691387,Ekaja Nanda,sulesimon@example.com,+91-7298623749,MVLRC6546G,3018-3309-3113,SB-9062-5781-6971,KOTAK7528939,467207.56,847
CUST16089829,Falguni Ghose,dprabhu@example.com,+91-9466421685,DDPFR3571V,1770-1963-2493,SB-6797-7925-8514,KOTAK4709625,109788.53,818
CUST52187929,Nimrat Parsa,yashvirattan@example.com,+91-7506165290,CYKKJ6565R,6564-7958-1268,SB-1649-2817-5614,KOTAK9447961,328597.86,758
CUST43426502,Vasana Saini,haurora@example.net,+91-8503623443,LMLNG0949U,3741-2303-6731,SB-8775-7195-2080,ICIC6131073,275317.32,852
CUST54971885,Maanas Dara,ychacko@example.com,+91-7648036805,EXTJI6639I,6343-8571-6689,SB-6925-9917-6347,SBIN1539767,208210.01,726
CUST90709969,Yug Pall,qasimsura@example.org,+91-7808970362,DAMFO4646X,2226-4288-8644,SB-8632-5770-2269,KOTAK4620307,215612.0,755
CUST20464528,Isaiah Sarraf,manderoscar@example.org,+91-8376326847,UCMWO3532T,2178-1136-2323,SB-4585-5472-2567,ICIC1029442,76006.93,756
CUST95913423,Krisha Chacko,sharafbhavna@example.com,+91-9371028125,WBNXR7835T,5187-8093-3583,SB-2466-2592-4728,ICIC6786050,256205.38,711
CUST20549817,Shaurya Sheth,harrison07@example.com,+91-8441767132,EHXGM2493K,2997-1203-1275,SB-7696-8279-6175,HDFC3162673,210844.24,825
CUST31192708,Balhaar Sagar,jhalakborah@example.org,+91-8461107695,QUNTF9952D,4494-4930-7338,SB-3598-3211-7312,KOTAK2525306,32903.51,717
CUST13706194,Warjas Sheth,maanavwalla@example.net,+91-9633049134,WLIIF6791G,3443-9519-4384,SB-9610-8445-2215,SBIN8895929,115794.83,831
CUST59976309,Jatin Anne,tpalla@example.com,+91-9473645629,OBVUW0420Z,4930-9009-7732,SB-2369-3288-2966,HDFC4059426,115084.23,738
CUST99545213,Yachana Kohli,kundaoeshi@example.org,+91-8818811087,WTCAE6322E,7397-9814-2972,SB-4661-1890-9393,SBIN5821469,474280.72,842
CUST47740909,Leena Banik,urmi56@example.net,+91-8244618414,AWEBN6367J,8215-7340-4698,SB-2167-4112-2701,KOTAK8129681,373316.73,838
CUST62432627,Viraj Suresh,supadhyay@example.com,+91-8523829270,YUZNG1012Q,1710-8529-3824,SB-2594-3233-6899,KOTAK7819452,394111.85,881
CUST68365569,Triveni Puri,triveni81@example.net,+91-9879004239,AHAAF1083N,1647-9771-2439,SB-1747-9252-5080,KOTAK4985825,300643.13,790
CUST97735514,Shaurya Sankar,nkar@example.net,+91-9438762826,XESZL5794R,2341-9486-5430,SB-3126-9543-4634,AXIS8495102,278199.71,840
CUST58751585,Yashvi Murty,ojasvi82@example.org,+91-8783525651,GOGFA1359J,8902-3120-7135,SB-4252-8605-8802,SBIN7429752,360646.54,709
CUST81970200,Priya Ramesh,girish85@example.net,+91-8273734223,WSWAO9886L,6202-2105-5584,SB-6334-8889-7343,HDFC2387477,290046.71,746
CUST39315465,Rachit Varty,naikridhi@example.org,+91-8327064173,DLFUL3788F,8098-6059-2748,SB-6220-8085-6740,AXIS2821970,401621.84,809
CUST79624175,Baljiwan Toor,samarthnaik@example.org,+91-9549955122,XUOZE9978B,3686-6260-1759,SB-7264-8566-3552,KOTAK6778564,284644.34,850
CUST95753993,Eesha Divan,nilimabatta@example.net,+91-8856768425,EILNM1019K,9474-8585-8017,SB-2862-6460-3519,HDFC4084817,361563.17,882
CUST69002581,Vrinda Tripathi,bbajaj@example.com,+91-9056278762,EIEFW3088Y,3196-5722-2693,SB-6651-4216-3923,HDFC9320578,100233.46,778
CUST91604897,Pranav Goswami,mandalkalpit@example.net,+91-7455847466,PHFWD5545Z,5307-1497-1527,SB-1118-2105-8259,KOTAK2799407,423365.71,882
CUST13285302,Sai Malhotra,divangautami@example.net,+91-7044664175,UPVMB2021R,2196-3682-1723,SB-7898-9697-8448,AXIS9397340,423388.77,794
CUST86681311,Alka Mallick,ojas02@example.com,+91-9182613997,FAFPC3463O,1841-8798-2726,SB-4979-7585-3486,KOTAK2084026,62592.44,788
CUST39184895,Falan Deshpande,khuranawilliam@example.com,+91-7388514876,DKWRB2227P,5883-2746-2508,SB-7147-9004-8380,ICIC4190393,303606.77,740
CUST99984216,Matthew Sidhu,opillay@example.org,+91-9693751090,DLOTQ1314P,5353-1716-8921,SB-4045-7639-7571,HDFC7659764,89002.54,742
CUST21821925,Ethan Gola,agarwalturvi@example.org,+91-9489165352,MIEZG8661J,6040-3972-1584,SB-3430-4329-7503,AXIS2169290,83494.41,800
CUST14321037,Dhriti Mutti,raaginivohra@example.net,+91-8450811871,CVIYS9398M,4216-2833-5667,SB-7688-4900-5878,HDFC5757109,286589.16,881
CUST40344527,Darika Dash,chawladakshesh@example.com,+91-8028860312,GMWMC0483D,3715-1797-7724,SB-8021-7718-8504,AXIS7032975,375744.23,738
CUST30657904,Azaan Pal,lbhatnagar@example.com,+91-7525542199,NJLDY5950J,8766-7465-6588,SB-3156-6932-8122,SBIN2294894,193892.15,741
CUST44198625,Ira Kade,urishilla78@example.com,+91-7761797930,NPVHI8048M,7951-5064-8933,SB-9281-5873-2752,ICIC1308273,355183.55,796
CUST58820211,Lila Mitter,qushi99@example.org,+91-8255547624,RMWKE6456R,7450-6947-3363,SB-9903-1815-8996,HDFC2048469,181093.54,819
CUST67497110,Nimrat Kumar,vmaster@example.org,+91-7967876441,VBSRT7303C,3842-4079-2321,SB-4721-9012-5029,ICIC4499478,339106.62,872
CUST62409293,Darpan Dhar,fbehl@example.org,+91-9150632755,GIXKJ3300T,8109-3852-1350,SB-6816-8977-5129,AXIS6592434,164872.21,788
CUST18161201,Bahadurjit Bava,tankranbir@example.net,+91-8466785069,LJUBQ9792A,3001-1872-2004,SB-9371-1469-1956,AXIS6281642,414802.9,758
CUST26743233,Lakshit Singhal,gagate@example.net,+91-7269021313,NPELT1244V,9518-1825-4671,SB-8387-9712-7178,KOTAK3407981,243728.94,843
CUST66757619,Damyanti Mammen,gjohal@example.com,+91-8493728564,IOLRF0607T,3664-5052-8531,SB-1982-6877-1039,HDFC6767352,291063.43,864
CUST61030956,Pushti Chanda,bhatchristopher@example.net,+91-9362370649,FHUIN7216Y,3285-7775-1850,SB-3471-4410-8321,SBIN6966850,244014.48,742
CUST75177255,Rajeshri Dugar,tarakchokshi@example.org,+91-7264815863,XATLF4872J,2966-8336-9665,SB-2745-6311-1973,KOTAK3777182,109358.75,746
CUST63797074,Jasmit Johal,tripti00@example.com,+91-8587294374,LHBMU8791O,6898-5516-4001,SB-6660-4483-8671,KOTAK6417618,468844.19,753
CUST35315720,Harshil Mukherjee,dnarain@example.net,+91-9876699348,YACYL5025W,1026-4098-8492,SB-9634-6248-9588,SBIN5211201,385018.16,841
CUST64797594,Manan Chacko,yatantripathi@example.net,+91-8315967970,LQHGY3271X,7460-4116-3816,SB-8773-5776-1554,ICIC3387947,446686.19,730
CUST66485268,Janani Parsa,dayamaicherian@example.net,+91-9358121386,LAKGO8475X,7745-1916-6553,SB-5326-8215-6835,ICIC9381383,250464.24,887
CUST47346402,Andrew Bath,epandit@example.com,+91-9144594720,RNLBW2253D,1342-4949-4424,SB-5526-5621-4277,KOTAK4648609,362029.02,789
CUST82588046,Eiravati Zachariah,ybrahmbhatt@example.net,+91-8737978132,DHAOP4161J,7948-8116-1366,SB-5640-4510-8782,HDFC1581785,347738.07,775
CUST30962232,Rachit Cherian,benfaqid@example.com,+91-8336416328,BBRTX6279B,6647-8913-3984,SB-7262-8904-4592,AXIS4624494,421255.36,705
CUST28991545,Bachittar Borde,diya65@example.net,+91-7380074414,NXGQH7677H,6085-5710-5515,SB-8120-6849-9567,AXIS5545348,235469.78,854
CUST78353387,Warda Ganguly,obanerjee@example.net,+91-9495898297,OTMAR7388G,2931-4725-1892,SB-2028-3535-4240,SBIN7191180,162643.36,854
CUST71327493,Harita Gala,ochacko@example.org,+91-7031628052,GAZTC0945F,7148-8358-6920,SB-4099-9978-1930,KOTAK5434283,387628.54,766
CUST86345354,Lakshit Dalal,surbrinda@example.net,+91-8511035797,CNPXH2431A,5497-4966-2042,SB-4465-4830-1576,HDFC1589723,192635.64,871
CUST46232976,Oviya Aggarwal,bahlmeera@example.com,+91-7912004437,HQCEW3001D,2195-1413-4128,SB-1622-3907-9443,KOTAK1615665,440489.85,894
CUST25717595,Nandini Bedi,bordechatresh@example.com,+91-8075009513,NCATB6198I,3357-7095-4491,SB-5723-5655-6286,AXIS8593736,44711.15,880
CUST57472144,Abhimanyu Nagi,khatriteerth@example.org,+91-8255037287,SGMAT0040W,8214-9675-8634,SB-3882-5897-4857,KOTAK8123631,134421.8,825
CUST30507525,Tanvi Devan,gargisha@example.net,+91-9405344959,ZHJCI5957V,1357-3882-8377,SB-4907-8897-7988,HDFC6354749,456935.42,801
CUST61480539,Vyanjana Hayer,vigwahab@example.org,+91-9827083001,HYDRG0462E,8496-9390-7089,SB-7004-6103-4447,HDFC3550030,352008.77,897
CUST46114522,Upadhriti Seshadri,ochand@example.org,+91-7718326046,NJGPO1206G,9638-8127-9801,SB-6697-7324-8604,AXIS1380135,74702.01,700
CUST22877119,Eesha Mishra,kprakash@example.net,+91-8826473247,UPOAL7619F,5606-7299-2744,SB-1053-1187-6020,KOTAK2844374,398077.83,837
CUST96643005,Maya Mukherjee,chandran13@example.com,+91-8140630533,PWHAP2880E,8544-6609-3304,SB-2260-3540-6837,AXIS6912609,472943.27,702
CUST55430169,Jeet Panchal,vamakshi10@example.net,+91-8926230201,CLJDS0320W,3521-3511-4152,SB-8337-5369-1842,HDFC2762727,495636.62,858
CUST72102825,Chandresh Sandhu,shenoywaida@example.com,+91-9679943966,QUYNX2370E,6742-3457-5117,SB-2697-8272-5282,KOTAK7335261,184060.09,880
CUST14862078,Vritti Shukla,bhatiavamakshi@example.net,+91-9063920979,UUQND8310D,2165-5918-3164,SB-5837-7777-1105,AXIS3217461,141616.73,786
CUST65614973,Parth Aurora,yash85@example.com,+91-8595878348,CPEWD8799Y,9193-8895-9625,SB-7708-9888-3521,ICIC4302115,486200.6,708
CUST40093065,Ryan Dewan,sarnanidhi@example.net,+91-8547051780,TKTQC7585U,6752-5393-2582,SB-3936-8308-9268,SBIN3579996,86461.67,789
CUST23797823,Nikita Chakrabarti,dakshmore@example.org,+91-9092397105,QPEKW2497B,3553-6369-4822,SB-3973-5990-9558,AXIS9424892,217698.44,819
CUST17886274,Abhiram Sarna,imarankata@example.net,+91-8866472936,ZWFBN7040L,2199-8373-3190,SB-1192-7270-7752,HDFC1452329,46710.28,867
CUST53202354,Ria Sama,xiti13@example.com,+91-7153876287,ZKUFW3189Y,1157-9946-5448,SB-6987-1067-4010,HDFC1742769,129707.86,772
CUST29430926,Irya Agrawal,sainiwriddhish@example.org,+91-7210060409,LJVSG4516L,1602-2402-4155,SB-3113-1117-9451,KOTAK5626153,204440.26,887
CUST56255588,Matthew Jhaveri,xpradhan@example.org,+91-9268496649,QJRPF9509P,3521-2430-7601,SB-9152-5595-5409,HDFC6163336,20589.94,765
CUST85619752,Darpan Mutti,zashilsinghal@example.org,+91-7277445228,LGPKG0052W,2139-4913-8791,SB-6840-9052-6168,HDFC7703526,169599.68,859
CUST39347420,Qarin Krishna,fiyengar@example.com,+91-8586465311,PWOEH8095W,3576-2086-1671,SB-2741-9283-8125,KOTAK3544341,250637.03,808
CUST24437859,Amaira Chawla,ubikamane@example.net,+91-8157200941,SYTPD4878W,1369-5150-2757,SB-7244-8553-3863,SBIN7494211,246613.72,754
CUST38550540,Devansh Krishnamurthy,tnaik@example.org,+91-9891504109,GVIVU6463D,7847-2805-7579,SB-9289-2057-8165,SBIN3413934,40635.25,825
CUST58354475,Om Ray,brajagopal@example.org,+91-9549418927,WBTDS8352Q,7914-1432-9427,SB-6553-6099-4942,ICIC6416683,48064.98,771
CUST97399098,Rishi Padmanabhan,vihaanarya@example.com,+91-9313400988,EDEAM4987Y,2069-9801-9769,SB-3026-1700-5705,ICIC9820174,395954.29,891
CUST92462241,Neha Dugar,ynayar@example.com,+91-9080166569,SZWND9784X,7389-3066-1606,SB-3830-7491-7086,ICIC1598198,317110.58,876
CUST86838236,Yauvani Thaker,nathanpatla@example.org,+91-9057522567,KLFNJ9109Y,6460-8558-5819,SB-5204-1931-1456,ICIC8499029,95126.85,900
CUST56354689,Yashawini Raman,wdube@example.org,+91-7692101578,KSFSY9075N,9070-6486-3829,SB-8577-1076-7685,SBIN9081338,256338.61,731
CUST90525461,Om Bahri,jason97@example.org,+91-9366893628,UINXB2287E,8054-5030-5444,SB-6442-1110-5058,KOTAK3031005,118881.48,781
CUST49115713,Darika Deol,hdada@example.net,+91-7455568432,OHBCZ1175H,9115-1256-4862,SB-2586-1608-7089,KOTAK7479087,277123.43,783
CUST91756314,Daniel Grewal,irya27@example.com,+91-8917824582,FEEMG3001C,2963-6903-9411,SB-3684-4282-3398,HDFC4245675,409517.24,837
CUST15663999,Chakradev Ahluwalia,ekiyawadhwa@example.com,+91-7097367016,MNIVS1731S,1540-8625-1762,SB-6492-8124-3319,HDFC3667984,239406.44,882
CUST31457162,Indrajit Pingle,peter73@example.net,+91-9391983491,BFZKU7885S,4404-7500-6946,SB-1481-8189-5664,AXIS3230464,10481.49,853
CUST90010004,Sai Rattan,hchada@example.net,+91-7639360820,YROFD0043C,9114-7551-2441,SB-1915-3721-7203,KOTAK4882591,463171.57,788
CUST39910147,Guneet Srinivasan,hemani47@example.org,+91-7667344566,PIOFZ6524P,5553-1113-1473,SB-6727-4792-6904,SBIN9056694,46594.47,746
CUST53647994,Sai Bajwa,siddharth05@example.org,+91-8924109971,CZSPJ8340N,8107-5360-5461,SB-4659-8460-2286,AXIS3917221,269494.89,868
CUST68279299,Madhavi Sami,bordeyoshita@example.com,+91-9181565333,BRZCQ8731P,5732-9796-2037,SB-1379-2999-4735,SBIN6555195,362908.96,783
CUST26717475,Harshil Mani,bahlbarkha@example.com,+91-8104850727,GMPIN5498Q,5378-5483-5469,SB-6193-6369-2154,AXIS7584986,430818.41,876
CUST93488564,Rayaan Patla,balakashish@example.org,+91-7952027361,PHUFN3167V,4439-2639-5641,SB-3810-9228-6856,SBIN3596674,160702.65,793
CUST72462914,Damyanti Sha,waliayagnesh@example.org,+91-9005630905,RXAAP4393B,3505-2776-6267,SB-7136-7214-7679,KOTAK5647026,205381.6,815
CUST38666375,Lipika Raja,qmall@example.com,+91-7731747653,GZVWR7077H,9541-9691-2843,SB-2208-5167-4584,KOTAK1948908,388491.97,828
CUST65949084,Yasti Kibe,anshpandit@example.com,+91-8377855948,DSDAD0140G,3131-4809-6047,SB-1144-6460-2558,HDFC5085930,283277.75,724
CUST73274955,Shravya Viswanathan,narulakeya@example.com,+91-7360704487,LYVDB1190E,2635-7903-5364,SB-2609-9911-3326,HDFC9500091,228160.68,756
CUST47134854,Kamya Khalsa,ishita49@example.net,+91-7216991321,WIUBM0256I,9047-2069-3030,SB-6042-7491-7661,ICIC5093159,206791.37,798
CUST92397639,Urishilla Chaudhuri,yashasvibrahmbhatt@example.org,+91-9334684792,DCZNW1207N,9266-2251-4002,SB-6104-7229-2742,AXIS2395530,444106.73,727
CUST66541947,Devansh Sachdeva,rpillay@example.net,+91-8663231084,ARGEG4539S,9516-3604-1567,SB-9582-2349-9090,SBIN6195871,199543.23,827
CUST65221866,Devansh Oza,bakshiyashawini@example.com,+91-7264674804,IWTVA7728D,2252-5931-6793,SB-2347-4738-2644,KOTAK9026363,18677.14,774
CUST19216009,Manya Atwal,onarang@example.net,+91-7609948291,XOKTM2540E,9519-6720-5453,SB-7890-8324-4182,KOTAK2920795,439927.11,706
CUST55432226,Anamika Nigam,frado43@example.com,+91-7321112883,GOUTQ9625M,3479-9865-3996,SB-1915-1908-5621,HDFC7483521,409171.32,812
CUST33841926,Saumya Sarna,qdar@example.com,+91-9048807711,NSPSQ0271Y,4116-1402-5055,SB-6636-4943-2463,ICIC8454092,269316.63,704
CUST97232576,Rishi Talwar,agarwalfalan@example.org,+91-8334329095,UUPZT2533H,9286-7875-5861,SB-8571-9601-4070,ICIC5302843,53260.84,721
CUST61157468,Madhavi Narain,keya86@example.net,+91-8245216008,BBXLP6961O,5106-6351-8601,SB-5657-5190-7462,AXIS1006446,481770.07,816
CUST64860270,Girish Pal,janakitata@example.org,+91-8065044981,NUILF1278C,5783-5592-7972,SB-2826-1417-5392,KOTAK1507969,486017.3,711
CUST15462443,Urmi Shenoy,charan04@example.net,+91-7487355151,ZRBOP6832H,4391-1559-7664,SB-6653-6095-6381,KOTAK2481010,49610.4,731
CUST62090161,Varenya Johal,pallaviranganathan@example.org,+91-9352050536,ESYYD4017K,6162-9488-5058,SB-8892-2999-3283,SBIN8335618,176517.69,899
CUST74188447,Yagnesh Wason,fdivan@example.com,+91-9145934808,CHVNI9396L,5705-8708-8952,SB-3845-1577-7779,HDFC3977891,271748.08,877
CUST18222333,Mohini Sidhu,banerjeetanay@example.net,+91-7607829378,EDRTQ5228Y,4772-2090-2341,SB-5696-8217-9120,ICIC2612212,437811.21,776
CUST74313199,Onkar Chandran,xitibasu@example.org,+91-9677943510,NQLFM3923A,6184-9093-6497,SB-2560-7522-5777,KOTAK2658952,302529.63,768
CUST41415237,Qushi Pradhan,omagrawal@example.net,+91-7979969520,YDVZZ1826Y,4137-3569-4593,SB-4166-9372-8824,KOTAK8335497,246588.73,773
CUST73644380,Anay Chaudhary,gsahni@example.net,+91-7768920246,LREYM9824C,8833-7314-6539,SB-6022-7957-5769,HDFC1693632,425566.71,883
CUST35911899,Ati Kamdar,devbrar@example.org,+91-8238962970,AUKHY9694R,6447-2011-6146,SB-1456-7345-3774,KOTAK4093927,437977.59,810
