customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance
CUST84514875,Krishna Chhabra,alexander25@example.org,+91-8308173835,SOXKG6358Z,3461-7259-1051,SB-6116-7478-6329,KOTAK5933931,71019.92
CUST68875198,Amruta Ben,bsandhu@example.com,+91-9521390832,VCDXD4761M,7645-1387-8164,SB-7148-5572-6204,KOTAK3621402,93293.37
CUST31811634,Vrishti Prabhakar,isharaf@example.com,+91-8005871423,BPHBX2123Z,2851-1520-6188,SB-6045-1129-3884,AXIS8088685,320687.18
CUST77346068,Harrison Deep,kalpitbhasin@example.net,+91-8889609789,NNWCI0281S,4461-2427-1329,SB-1107-4747-4733,SBIN6954962,303542.82
CUST72948949,Yashoda Bedi,omkaarjohal@example.net,+91-7763229311,SZEWD4719Q,9302-2813-1479,SB-4382-9555-3931,SBIN7697745,498096.47
CUST12649586,Timothy Anne,hbrahmbhatt@example.com,+91-7397804992,VVKBP3819Y,2037-3153-9436,SB-5426-9153-4741,ICIC8743575,192623.41
CUST41600592,Hemal Sandhu,zehaan71@example.net,+91-7426711068,IQZDB8034T,9270-9483-6195,SB-1451-5256-7206,SBIN4777546,417424.69
CUST18239547,Nathaniel Om,daminiramachandran@example.org,+91-9844626805,VFBYL5708L,6830-4535-1256,SB-8106-5575-9993,HDFC8869342,241147.57
CUST31212791,Tristan Walla,lucky85@example.org,+91-9682628760,BOMCA7883E,6641-5282-2226,SB-1416-8674-2011,SBIN3239900,133278.91
CUST48838993,Ladli Batra,gaurika09@example.org,+91-8951300238,HSKNP3214Z,8551-4410-9260,SB-6667-4214-9661,HDFC1378746,156919.42
CUST73710723,Nachiket Chacko,gmittal@example.org,+91-9937626325,NWKGS5075Z,9986-1416-1550,SB-8012-6835-7909,KOTAK8971956,154078.61
CUST32626920,Omaja Karpe,ladlithakur@example.net,+91-7766055446,WMYJW6867S,1349-4038-8871,SB-8701-8361-3438,ICIC4931048,170748.19
CUST30924056,Jack Patel,jseth@example.org,+91-9287322495,ZAKFO8556X,8621-2856-1716,SB-2831-7018-1969,KOTAK2934633,430882.22
CUST41292518,Pranit Balasubramanian,hluthra@example.org,+91-8292999894,FBCRF3655G,8303-4942-4493,SB-1673-8347-6907,SBIN3917200,411453.78
CUST63672593,Shivani Karan,oni51@example.net,+91-7355390452,VLASR8081P,9666-8268-5722,SB-6075-8968-1000,ICIC5598709,314553.0
CUST18778138,Faras Sachar,hemani51@example.com,+91-9203095174,UQFOU5440S,7748-5296-5304,SB-1789-2563-5140,HDFC1323560,468137.82
CUST92671906,Yashasvi Balay,balveerjha@example.org,+91-8905240354,CYBAK1408A,9374-8491-9055,SB-6607-6578-1179,SBIN1128787,206587.39
CUST50559280,Zinal Kanda,avohra@example.net,+91-8707887822,QUAXQ1463S,4889-4298-7512,SB-6502-6456-8478,SBIN8880347,368639.41
CUST86147369,Devika Edwin,khannafaris@example.org,+91-7801983881,GHPMK1904R,9709-9691-1599,SB-3353-8639-4522,AXIS7198444,160272.21
CUST75676849,Triya Goda,advik20@example.com,+91-8341950083,LIJYU7466D,9115-3448-9883,SB-5324-5804-3296,HDFC9737744,423340.08
CUST27096843,Qasim Narasimhan,sanyahari@example.net,+91-8105360645,UMZVD1612J,4098-9431-9951,SB-9015-2445-7633,KOTAK3575562,102766.64
CUST20789271,Gaurang Baral,bina17@example.com,+91-7667527184,BSMRB8225U,7998-8687-9551,SB-9864-1259-7147,HDFC6720407,104193.02
CUST20351477,Samarth Karpe,yashoda57@example.net,+91-7453772828,MDWGZ2606A,6497-8957-2450,SB-4672-9882-6510,ICIC9879962,113322.24
CUST87354016,Lucky Deol,fbumb@example.net,+91-7818479966,CCPER6337X,9339-2507-8547,SB-1675-7185-3697,KOTAK2463323,486419.13
CUST37668674,Chakradev Prakash,naiduadya@example.net,+91-8673473902,TKQPT2249Y,6265-3420-2036,SB-5804-4641-3183,HDFC6860262,29703.74
CUST98073320,Victor Gopal,balakrishnanniharika@example.com,+91-7190710480,YJVJF5803O,9862-3690-2786,SB-2602-1617-6581,AXIS9048863,210259.18
CUST16680845,Fitan Loyal,aashi98@example.org,+91-7786593606,FNLIG1801A,3933-6578-2766,SB-8507-9024-3390,HDFC2647330,378138.74
CUST92055823,Thomas Jani,christopherkapadia@example.org,+91-8665019196,VCOUT5290Z,5315-5961-9703,SB-8547-5049-9047,SBIN6326879,480456.46
CUST40033018,Baghyawati Vaidya,vihaanpatil@example.org,+91-9411048487,OHAOJ3120P,7927-5187-1293,SB-3440-5157-5435,ICIC1542477,343419.39
CUST20773851,Anamika Virk,yastisaraf@example.net,+91-9279606005,QKEIF3040L,5709-3716-7423,SB-1860-5895-1440,KOTAK9046183,214025.08
CUST92046901,Orinder Chander,shivani74@example.com,+91-8187281339,BRIOA9308B,7727-9618-2212,SB-3633-7767-4674,HDFC8508006,417990.21
CUST65243026,Upadhriti Pandya,balaviraj@example.org,+91-9630593819,FGPFG8365C,1023-4614-9104,SB-1786-5372-6073,AXIS1610717,35051.22
CUST39332590,Wridesh Naidu,samar71@example.net,+91-9213659182,GLWPU5696T,8435-1623-4591,SB-7986-4782-5781,KOTAK4148340,341700.7
CUST94317222,Hritik Mukherjee,devanshbhattacharyya@example.com,+91-8523243619,SBSTG2910D,8572-7068-7108,SB-1205-4552-9254,KOTAK8935493,203313.44
CUST61843032,Yasti Date,mallickqadim@example.net,+91-9628038391,PVVPY3016C,7370-6138-4407,SB-4704-4060-6390,AXIS4832908,320984.15
CUST11782038,Jatin Savant,mannedavid@example.com,+91-9365965338,FUJGQ1536I,2825-4580-4841,SB-7685-2024-2020,SBIN8186395,293842.85
CUST60870185,Quincy Mangal,kabirsachdev@example.org,+91-7421466251,JBJDP9692S,5298-7798-1730,SB-8272-3640-9178,KOTAK5302273,389953.83
CUST88517628,William Bir,agarwalpahal@example.net,+91-9039618201,QMBWS4586F,4681-6962-7508,SB-7776-2992-7098,ICIC5051292,107743.88
CUST64329489,Oscar Natt,vkumer@example.org,+91-7730241083,XKMMI4097J,3880-7588-6617,SB-5654-6529-2150,AXIS2673564,258158.14
CUST77203608,Lucky Rastogi,nayakkrisha@example.org,+91-7235355524,GJPMT3187D,9711-4806-2416,SB-4540-2017-9685,AXIS4961685,298867.56
CUST40125937,Ekta Devi,lajita31@example.com,+91-9147134365,CPXIG0610Q,6668-4756-6334,SB-5281-5885-7295,ICIC2923780,466293.11
CUST78137478,Indali Chandra,fdoshi@example.net,+91-8776819498,MZEJB5878V,8318-2906-6159,SB-9547-5676-6555,SBIN4564691,261167.27
CUST79350115,Samarth Venkataraman,patlalavanya@example.net,+91-8805234758,CGCAE1702R,6861-1102-4810,SB-5311-2657-7710,ICIC8949601,234359.59
CUST63715875,Varenya Chand,gganesan@example.org,+91-9033202297,PXQQF9787A,8086-4882-6077,SB-7845-3620-7556,KOTAK4878641,484600.3
CUST38739032,Gunbir Naik,qasim21@example.net,+91-7209333191,GJDGP7984I,6047-2622-6992,SB-7979-6070-3025,HDFC5195123,266471.88
CUST33983048,Vidhi Rajagopal,sathvik35@example.net,+91-7528150220,DEOJR3899H,9183-8866-1880,SB-8133-1437-4333,SBIN8289395,247652.4
CUST14721234,Rishi Shroff,ghoshisaac@example.org,+91-7755297653,PPEQC3799C,4557-3807-4124,SB-9930-8553-5669,SBIN5941184,477005.13
CUST59231281,Ansh Sunder,idikashere@example.net,+91-7154940234,BPVLF4201V,5840-6935-2951,SB-2606-6517-9560,KOTAK7618997,449167.87
CUST69000870,Xalak Mangat,sridharjai@example.org,+91-7503862660,IWUVH1623L,4607-9965-9713,SB-6943-2410-4999,HDFC8026360,265497.73
CUST86416484,Luke Chakrabarti,aarnavtak@example.net,+91-9703447720,JFWQE6601X,3009-6373-8814,SB-8775-6735-2401,HDFC7941076,333347.79
CUST77561430,Ishita Ramakrishnan,utkarsh13@example.com,+91-7185610608,RYFXO3109D,1074-1493-2538,SB-2907-1803-4251,HDFC9459666,261418.08
CUST17247175,Christopher Munshi,nazarethalexander@example.org,+91-7990718670,YVJXQ3822M,5273-1049-1070,SB-7329-6519-7786,AXIS1506204,208619.64
CUST34397623,Xalak Nayak,anshbala@example.com,+91-9826936016,GQWJK0258V,4717-4126-3199,SB-6623-8060-8215,HDFC6720587,379879.52
CUST31939981,Anjali Madan,xmandal@example.net,+91-7304689655,RBSBA3541H,1833-9349-4843,SB-4171-7168-3797,ICIC6871869,206375.03
CUST82729015,Idika Reddy,anya91@example.org,+91-9063824153,DBASH1457J,9924-3294-1522,SB-7517-8975-5777,KOTAK6449338,88504.73
CUST92331430,Lakshmi Chacko,naraindavid@example.com,+91-9988286230,WQSGQ4258U,2970-2868-9120,SB-6609-8125-2078,SBIN4184260,361404.87
CUST91731821,Jeremiah Chatterjee,jhaveriadvay@example.org,+91-8946286830,LJPJG7981F,2581-2118-6833,SB-2342-9678-8610,AXIS7433078,163534.27
CUST47027366,Devika Mody,ladvidhi@example.net,+91-7632856031,PUIHJ3932K,7846-4655-4281,SB-6411-3086-4636,ICIC9506074,66208.83
CUST39608696,Kalpit Sinha,vedant25@example.net,+91-8527870081,VREMR0147C,1292-5219-2314,SB-4046-3749-3754,AXIS5246668,83883.36
CUST29084575,Yasti Dash,urishillakala@example.net,+91-7931523984,JMBJO2531Q,3475-2845-3832,SB-2557-5923-3157,HDFC4619928,473555.7
CUST21318505,Eesha Mital,hemaljain@example.com,+91-9543041476,MWQHM3791V,6790-1877-6276,SB-3697-6800-1350,SBIN5102119,461918.89
CUST67186067,Yatin Kar,inarang@example.com,+91-9003263053,XNRIA8491O,3719-1177-5798,SB-7443-4162-1561,HDFC9830258,465542.67
CUST62898850,Udant Uppal,odikahans@example.com,+91-8629268163,OXXSQ4171M,6460-2441-2891,SB-1305-2521-8653,KOTAK3872010,216765.92
CUST96187406,Vritti Verma,jacobbhatia@example.net,+91-9514493860,ALFYS3045Q,1846-6413-4301,SB-6831-4293-2410,SBIN6453045,170478.21
CUST59478116,Dev Morar,comargaurika@example.net,+91-8559572837,BEKSS3364Q,3814-3170-6615,SB-3667-6423-4885,ICIC1513407,168765.26
CUST80768451,Chaman Soman,michael46@example.org,+91-8057874161,RTBDZ0974W,2478-5373-7873,SB-8462-9522-1090,KOTAK5293923,221073.38
CUST34218140,Mason Sama,chaturarout@example.com,+91-9623344234,ZEUDR3903S,8340-3946-9003,SB-1620-6823-5190,HDFC3872184,220583.05
CUST93933884,Upadhriti Rout,libni12@example.com,+91-9596176712,EJXNT4157M,3010-3278-5103,SB-5808-8843-5753,KOTAK6123396,440993.58
CUST13834757,Abhimanyu Goyal,dateunni@example.com,+91-7447786563,ARXWU8250M,1588-1705-7406,SB-1548-8743-5217,SBIN8880895,16508.31
CUST97545880,Neha Rana,christopher49@example.net,+91-7488794480,WANIR1682H,7649-8801-8985,SB-7917-9700-4292,ICIC5090683,490598.64
CUST71996445,Kiaan Deshmukh,wahabdixit@example.org,+91-9879801664,CCTDX6467Y,2740-2468-7032,SB-1794-3823-8130,ICIC3493542,402104.69
CUST54615705,Rudra Sani,xbrar@example.org,+91-7426466641,DKETN3187Y,7239-9244-7506,SB-7717-5604-3638,ICIC1569088,221961.21
CUST75659733,Ayaan Nanda,hshere@example.com,+91-9218435906,IMQZS7903B,5901-4548-1286,SB-8632-6254-5430,ICIC6808194,352430.47
CUST98127375,Eiravati Majumdar,qadim13@example.org,+91-8853083985,DDWVR3287R,9253-3798-7940,SB-1775-2011-7503,AXIS6204298,45794.71
CUST40248248,Meera Master,bhasintripti@example.com,+91-9530438187,YZNDJ9906K,3515-1972-4279,SB-5920-7224-4257,AXIS1795725,414978.96
CUST38874385,Avi Golla,balakrishnanforum@example.net,+91-8824035002,JYYQU6594R,5844-7640-9893,SB-3830-1430-5759,ICIC4576620,257638.68
CUST76999458,Ira Maharaj,hayrevanya@example.org,+91-7125369607,NLFBV9237H,6582-1596-6893,SB-3933-8303-2397,SBIN5598438,475470.18
CUST77391974,Manan Lalla,neelimalalla@example.org,+91-8757032775,YYBNH6160X,7922-5933-6115,SB-9091-5941-6223,AXIS4330441,353066.23
CUST62222051,Girish Chatterjee,tpai@example.com,+91-7217970815,BCTWB6416U,6524-6688-8771,SB-5344-2941-5282,HDFC2869014,285870.29
CUST67995277,Tanvi Majumdar,bhattyatin@example.net,+91-8336324525,UEKND1730P,6998-2698-5076,SB-4640-4601-9498,SBIN1388750,364460.33
CUST45211413,Waida Keer,chamelitandon@example.org,+91-7169799325,SHQTY7413Z,7070-6023-1334,SB-4695-2802-3406,KOTAK7174403,260862.88
CUST52944026,Robert Tella,eesha42@example.net,+91-8104469729,EQFJX5498E,7592-7609-5356,SB-4322-1110-7040,KOTAK6361293,136700.4
CUST26971779,Abeer Wadhwa,adweta41@example.com,+91-7694612902,AZLPY0490M,5229-5059-6733,SB-8071-7769-1104,SBIN3320720,7868.14
CUST10706630,Upasna Chhabra,sai83@example.net,+91-8663342428,IYQBW5648R,8495-5526-8498,SB-6551-3402-4289,HDFC2509872,438172.84
CUST82750746,Lavanya Kaul,mekhala59@example.org,+91-8596504428,IINDU8753I,7087-1366-8361,SB-4312-2031-6153,KOTAK5810141,26431.65
CUST40633334,Karan Edwin,nigamnilima@example.net,+91-7872693662,ZCTDA2035Q,4922-6721-8769,SB-3912-3082-7692,ICIC8293700,59792.42
CUST43431726,Bina Borra,pnatarajan@example.com,+91-8325700212,YWATS1000T,3407-5288-3414,SB-4334-9283-5443,ICIC1844656,361214.75
CUST22401454,Ojas Sehgal,hparmer@example.org,+91-8103687459,FQYAL8073Y,4663-8080-3966,SB-9721-9298-7157,SBIN4674188,178442.86
CUST63841716,Nandini Prashad,zilmil05@example.net,+91-9119452258,WGULI9755M,3360-5439-5265,SB-9235-8769-5310,HDFC8946818,137459.76
CUST56619088,Dayamai Varghese,grewalsamarth@example.org,+91-7346755494,HDKCR8856L,1524-1236-2874,SB-1748-8680-4920,ICIC7893249,215404.21
CUST72318477,Unnati Deo,vargheseudant@example.org,+91-8255458540,KTMYM7426D,6225-7647-1316,SB-7087-9084-3044,AXIS4774356,454140.0
CUST63475678,Gopal Deo,gwadhwa@example.net,+91-7164658844,KLNJD1406R,4707-5282-1477,SB-5330-4361-2635,HDFC6189724,311756.06
CUST94496111,Pooja Bhattacharyya,golamugdha@example.org,+91-9203895430,FWNYB3591J,2439-9761-4125,SB-2974-6442-1425,KOTAK9198339,498798.01
CUST84677887,Zilmil Kadakia,yatan27@example.com,+91-8680902419,CIXOW5155E,7511-6704-6616,SB-9268-9562-1277,SBIN5235079,63504.9
CUST28693699,Harrison Mangat,ssinghal@example.com,+91-7606920554,GQIBB0648D,4762-6993-9974,SB-3574-6212-9365,SBIN7283042,164399.07
CUST61665776,Edhitha Sodhi,seshadrikalpit@example.com,+91-9875838034,CMHKW7731Y,9040-4000-6325,SB-4566-1775-4389,ICIC7172355,350827.86
CUST28373882,Lopa Dar,aradhanatak@example.com,+91-7729242375,JNYVT8125L,7817-1196-3425,SB-4596-8121-7530,AXIS6860930,116610.43
CUST29389206,George Rastogi,charita09@example.net,+91-8872797930,AJLVQ0077H,3381-8832-1684,SB-6989-9031-1603,AXIS2386781,178334.37
CUST59319023,Raghav Narayan,ranveerbedi@example.net,+91-9786091712,KIHXN2243D,3448-5410-5214,SB-8934-8261-8981,HDFC2895057,390741.79
CUST37375299,Fariq Narang,oscar60@example.net,+91-9927425100,TVRZG7820T,8259-2121-9664,SB-6333-4732-6012,AXIS4895089,15363.31
CUST37780924,Akshay Bajwa,hegdedev@example.com,+91-7003830538,OPUAG1913T,2273-8761-5115,SB-3542-5668-8517,AXIS2516324,48270.33
CUST48271208,Faqid Sodhi,dayita22@example.com,+91-8193328612,KRSTA3148N,3433-6963-2403,SB-8711-6449-7525,KOTAK6356627,181772.77
CUST11998778,Kiaan Bhatia,qraj@example.org,+91-7220387213,AWDIP4699Z,8274-3638-8677,SB-8702-7925-4522,AXIS5490811,348519.07
CUST31972526,Chavvi Raju,theodorechoudhary@example.net,+91-8500233611,HWCDB1886S,1679-2116-6501,SB-8856-4674-9000,SBIN5760597,380671.0
CUST35337054,Dakshesh Narayanan,arunimajaggi@example.net,+91-9074409840,VIBLC6191P,6283-7383-9559,SB-1720-4719-2280,HDFC3272759,373689.02
CUST90589769,Eta Mohanty,tsen@example.org,+91-7573411478,MQCUN4994B,1154-4298-6944,SB-1768-8050-5853,SBIN9831847,256809.18
CUST28794197,Vyanjana Hora,abdul40@example.net,+91-7260941370,DPKCS2442N,8907-1044-9031,SB-4952-1574-5782,AXIS5521048,414616.48
CUST22783646,Vinaya Tripathi,meghanamuni@example.net,+91-8893589845,KDZIC7370N,6329-6799-9892,SB-9559-9278-7917,HDFC7725878,486526.32
CUST65697419,Eshana Mutti,ljani@example.net,+91-8022198282,KHIJG8097C,8589-3447-1204,SB-6257-7079-9375,HDFC4448757,343712.69
CUST27371481,Joshua Chandra,samarth17@example.com,+91-7895409577,XHXOU3678B,5786-5122-3539,SB-8377-3246-4395,HDFC5159452,348122.88
CUST57976665,Sara Kant,boballeena@example.org,+91-8669890187,DKVPS9610C,4832-6441-3852,SB-9476-4781-2696,KOTAK5774296,141922.22
CUST13178630,Upkaar Lad,jhaverihemani@example.org,+91-9381786326,ODLOH8266U,9288-9241-8837,SB-9246-2582-4259,ICIC4658870,437442.53
CUST37160876,Bhavya Badal,sarinomya@example.net,+91-8002054079,GCQBU4785X,7756-7225-5601,SB-9326-4906-2433,HDFC6296053,9926.65
CUST94510745,Samarth Karnik,charan82@example.net,+91-7015678593,FDELF7562X,4533-1982-1100,SB-8603-4682-5201,ICIC5499928,152741.45
CUST54470773,Manthan Bir,gsampath@example.org,+91-8269958492,YDOON3148A,1852-6998-3578,SB-1237-5496-6513,HDFC2352418,224658.29
CUST33203347,Alka Kade,teerthsibal@example.net,+91-7492384917,MAWZQ4066Y,2699-9016-7692,SB-4548-7929-2761,SBIN3589530,85696.98
CUST55560165,Azaan Chada,qmangat@example.net,+91-8596889127,XPRSO5338L,6006-7746-8177,SB-8404-4806-4973,SBIN7927381,348996.82
CUST78691517,Krishna Biswas,warjasdhar@example.org,+91-7065882854,BMOJR7902M,1078-4304-6000,SB-1540-9989-9416,ICIC6100043,224321.82
CUST40247660,Balveer Rege,oommenranveer@example.net,+91-8542739411,KGMFK5286U,9931-3276-6623,SB-6429-3392-3646,KOTAK8287725,285122.21
CUST44547004,Warjas Kanda,sachi82@example.com,+91-8611722254,UBVOF0199P,7039-5513-9772,SB-8778-2620-6185,ICIC5804362,448453.61
CUST60756023,Sai Jayaraman,falanmaster@example.com,+91-7761417443,CNRCG4326L,6699-9510-7935,SB-2376-2403-3541,HDFC5669111,366481.59
CUST82206837,Gabriel Kalita,riya68@example.org,+91-8430694938,JQMYA3428S,9304-8594-2230,SB-8860-5697-7328,AXIS7785055,369999.87
CUST13921071,Zansi Sastry,patlavanya@example.net,+91-9399187549,BXCQS8921B,7793-2651-5348,SB-5729-4089-3416,ICIC5214770,130727.95
CUST51992286,Zehaan Merchant,faras46@example.com,+91-9672660784,UIGSF2382C,7130-8032-9879,SB-7915-2591-7864,ICIC9526191,356138.85
CUST71019592,Anthony Tank,tiwarivrishti@example.org,+91-9823857683,DBTQJ0157J,9701-2509-4850,SB-5034-7715-5907,HDFC9490491,241206.52
CUST81694283,Aadhya Prabhu,vrishti59@example.org,+91-9306931704,XTHMV1302Q,4318-3826-9612,SB-2022-9811-8549,KOTAK1888970,499741.61
CUST35693380,Qabil Chacko,michaelsankar@example.com,+91-9740541987,IUEVL0504S,4744-2686-9255,SB-2473-2080-2179,SBIN8744766,373929.89
CUST51053265,Priya Chander,gautamichand@example.net,+91-9723636038,BHTKK6678O,7993-7305-6757,SB-2546-7412-6114,ICIC3912514,432235.57
CUST48898635,Urvashi Mani,rayaan71@example.com,+91-9023392141,GTOYV9069F,1714-5275-4376,SB-5425-3585-4489,SBIN1062168,301870.24
CUST72356329,Ekaja Banik,zdoshi@example.net,+91-8324845884,UBAYI0070B,9067-9298-3726,SB-4750-6434-2729,ICIC2357072,245024.51
CUST40148086,Elijah Dugal,mohini45@example.net,+91-9431134176,TDEAF7981K,7148-6753-9737,SB-1804-1589-8044,HDFC8512298,394025.87
CUST39499066,Jack Bhandari,xdesai@example.net,+91-8514323645,PYSZI4216K,9012-5461-6764,SB-2278-7801-8996,AXIS5853146,338565.61
CUST40658005,Abhimanyu Shukla,omanne@example.org,+91-7946084777,VTKZV7181R,6609-5747-5055,SB-5493-6124-7097,HDFC9896623,393535.1
CUST85033976,Dipta Bakshi,sanayapalan@example.org,+91-7904759059,KWYXP1821Y,3480-2398-2144,SB-6814-9364-3331,HDFC2428133,35604.52
CUST99387137,Quincy Verma,ramabimala@example.com,+91-8103131119,BXKWP1693G,8821-4090-5594,SB-5870-5976-9809,HDFC1412989,377768.67
CUST20025530,Girik Rai,tarak69@example.net,+91-7938202912,YQIJU5494I,9892-1768-8410,SB-7557-3777-7407,AXIS6029481,264658.17
CUST27862435,Rachit Saha,kohlivedhika@example.com,+91-9771263479,IISKO0739W,6570-4589-9336,SB-5246-7275-5722,SBIN6933689,301264.38
CUST56998579,Madhavi Chadha,ilalla@example.org,+91-8399698606,NZLWR2146E,3753-8432-1444,SB-3060-2773-8048,AXIS6518861,165889.52
CUST14236601,Ira Mann,upall@example.net,+91-9254489345,LKKHR9058F,3837-6114-5905,SB-2830-8960-5181,AXIS9323071,46048.27
CUST49375065,Teerth Venkataraman,abhiram83@example.net,+91-8958384751,OZRSE8350O,5292-8828-8398,SB-3623-9072-5932,SBIN4243057,212702.45
CUST24526021,Pratyush Shankar,dhritibose@example.org,+91-7303161382,EBFOI3709R,5833-2183-3021,SB-2357-6161-7476,HDFC5255939,429870.63
CUST63777899,Bhavya Datta,leenamutti@example.net,+91-7666644468,ZCUJH6441K,5328-8035-5957,SB-6819-3877-2243,SBIN8726980,243494.35
CUST55558401,Samar Deshpande,chaudhurionveer@example.net,+91-9071137362,KCTPY7807I,7717-4797-9235,SB-5122-8576-3210,AXIS2251168,290453.43
CUST49033174,Dhriti Pradhan,parsaekavir@example.org,+91-8977664417,YIOHL5462D,1411-5081-2502,SB-2942-6646-7434,ICIC4450961,120182.11
CUST49639117,Yashawini Gour,bakshibalveer@example.com,+91-9920470883,UDEDT6274P,8006-5386-8993,SB-1999-6285-7850,AXIS1536023,49899.65
CUST83689408,Patrick Rajagopalan,nthaman@example.org,+91-8116160410,TYNMR5789S,1142-8384-7114,SB-9759-3836-5436,HDFC6411880,372385.35
CUST49199862,Hamsini Suresh,darshsengupta@example.com,+91-8531632285,RWLMR3356C,3834-5219-8348,SB-7108-7080-1177,KOTAK7295509,292305.26
CUST94177488,Nicholas Kamdar,kiaan95@example.net,+91-7217948309,XKZDE8091J,1085-2024-5838,SB-2068-2855-9564,AXIS1621159,327232.81
CUST22048024,Aachal Cheema,nathanielatwal@example.net,+91-9226638575,GMVQD9432A,7628-5922-6767,SB-2038-7506-1389,AXIS8788702,95468.71
CUST50016887,Harish Khosla,varora@example.net,+91-9495058798,PNGRV3285A,8268-3291-8622,SB-9079-6947-8869,AXIS8466168,290904.75
